,DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha)
0,29,99,0,0.0,65,46,230,5.0
1,1,836,0,0.0,2050,1350,20250,15.0
2,1,602,0,0.0,669,535,6420,12.0
3,1,678,0,0.0,623,478,9560,20.0
4,1,777,0,0.0,620,265,3180,12.0
5,1,0,0,0.0,556,476,9044,19.0
6,1,410,0,0.0,388,368,3007,8.2
7,1,359,0,0.0,372,291,2619,9.0
8,1,486,0,0.0,355,215,1609,7.5
9,1,398,0,0.0,346,290,3190,11.0
10,1,917,0,0.0,329,140,1400,10.0
11,1,805,0,0.0,258,187,1122,6.0
12,1,687,0,0.0,200,165,1650,10.0
13,1,451,0,0.0,182,150,465,3.1
14,1,344,0,0.0,172,47,400,8.5
15,1,711,0,0.0,150,80,1040,13.0
16,1,149,0,0.0,135,95,1477,15.5
17,1,29,0,0.0,134,129,1419,11.0
18,1,119,0,0.0,122,25,250,10.0
19,1,536,0,0.0,116,98,1960,20.0
20,1,44,0,0.0,110,100,1500,15.0
21,1,769,0,0.0,105,63,625,10.0
22,1,93,0,0.0,104,54,540,10.0
23,1,516,0,0.0,99,42,336,8.0
24,1,934,0,0.0,98,77,347,4.5
25,1,396,0,0.0,96,78,936,12.0
26,1,699,0,0.0,95,84,215,2.5
27,1,864,0,0.0,81,62,498,8.0
28,1,929,0,0.0,70,40,200,5.0
29,1,58,0,0.0,62,49,490,10.0
30,1,102,0,0.0,50,0,0,0.0
31,1,312,0,0.0,50,49,294,6.0
32,1,2,0,0.0,49,3,30,10.0
33,1,37,0,0.0,44,14,168,12.0
34,1,435,0,0.0,41,31,244,8.0
35,1,392,0,0.0,40,18,144,8.0
36,1,599,0,0.0,39,25,50,2.0
37,1,555,0,0.0,37,36,108,3.0
38,1,837,0,0.0,36,10,75,7.5
39,1,799,0,0.0,35,3,11,3.5
40,1,494,0,0.0,35,33,198,6.0
41,1,870,0,0.0,34,31,188,6.0
42,1,252,0,0.0,33,3,5,2.0
43,1,111,0,0.0,32,0,0,0.0
44,1,793,0,0.0,32,7,117,18.0
45,1,951,0,0.0,31,26,203,7.8
46,1,42,0,0.0,30,2,15,7.3
47,1,61,0,0.0,30,27,81,3.0
48,1,160,0,0.0,29,0,0,0.0
49,1,36,0,0.0,28,28,84,3.0
50,1,940,0,0.0,26,24,336,14.0
51,1,975,0,0.0,24,18,98,5.5
52,1,337,0,0.0,21,21,105,5.0
53,1,360,0,0.0,21,21,133,6.5
54,1,243,0,0.0,21,21,210,10.0
55,1,146,0,0.0,20,0,0,0.0
56,1,293,0,0.0,20,8,80,10.0
57,1,739,0,0.0,19,0,0,0.0
58,1,376,0,0.0,19,16,48,3.0
59,1,727,0,0.0,18,16,48,3.0
60,1,143,0,0.0,16,16,81,5.1
61,1,718,0,0.0,15,10,30,3.0
62,1,339,0,0.0,15,7,49,7.0
63,1,532,0,0.0,15,14,99,7.1
64,1,210,0,0.0,15,15,225,15.0
65,1,314,0,0.0,14,9,53,6.0
66,1,88,0,0.0,14,9,105,12.2
67,1,91,0,0.0,13,0,0,0.0
68,1,897,0,0.0,13,8,56,7.0
69,1,75,0,0.0,12,8,41,5.0
70,1,127,0,0.0,12,12,46,4.0
71,1,144,0,0.0,10,5,50,10.0
72,1,416,0,0.0,7,5,35,7.0
73,1,248,0,0.0,6,5,25,5.0
74,1,209,0,0.0,5,5,15,3.0
75,1,892,0,0.0,4,4,19,5.5
76,1,379,0,0.0,3,3,19,6.2
77,2,863,0,0.0,177,150,2400,16.0
