,DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha)
0,0,648,1,0,98,29,15,0.5
1,0,449,1,0,52,0,0,0.0
2,1,917,1,0,2166,1761,881,0.5
3,1,115,1,0,2044,850,510,0.6
4,1,536,1,0,2017,1426,998,0.7
5,1,44,1,0,2014,1404,702,0.5
6,1,466,1,0,1590,1420,994,0.7
7,1,941,1,0,878,828,580,0.7
8,1,868,1,0,830,502,301,0.6
9,1,175,1,0,789,434,303,0.7
10,1,30,1,0,712,707,354,0.5
11,1,934,1,0,663,384,192,0.5
12,1,146,1,0,514,304,243,0.8
13,1,771,1,0,510,440,264,0.6
14,1,751,1,0,510,390,351,0.9
15,1,774,1,0,502,202,162,0.8
16,1,974,1,0,498,463,324,0.7
17,1,143,1,0,454,449,367,0.8
18,1,254,1,0,403,287,144,0.5
19,1,532,1,0,402,390,234,0.6
20,1,756,1,0,369,296,118,0.4
21,1,735,1,0,363,323,226,0.7
22,1,243,1,0,344,226,158,0.7
23,1,55,1,0,313,245,172,0.7
24,1,727,1,0,294,217,152,0.7
25,1,392,1,0,290,265,212,0.8
26,1,984,1,0,287,269,161,0.6
27,1,674,1,0,270,215,129,0.6
28,1,530,1,0,250,216,173,0.8
29,1,39,1,0,245,230,138,0.6
30,1,864,1,0,197,192,115,0.6
31,1,976,1,0,194,119,71,0.6
32,1,635,1,0,178,178,71,0.4
33,1,812,1,0,168,146,58,0.4
34,1,647,1,0,160,160,72,0.5
35,1,977,1,0,151,121,97,0.8
36,1,929,1,0,146,115,81,0.7
37,1,58,1,0,143,40,20,0.5
38,1,159,1,0,136,136,109,0.8
39,1,783,1,0,110,90,63,0.7
40,1,655,1,0,105,80,40,0.5
41,1,314,1,0,96,85,51,0.6
42,1,160,1,0,95,83,33,0.4
43,1,836,1,0,94,89,62,0.7
44,1,350,1,0,78,42,42,1.0
45,1,975,1,0,64,48,14,0.3
46,1,102,1,0,62,32,22,0.7
47,1,203,1,0,60,50,30,0.6
48,1,803,1,0,54,54,38,0.7
49,1,718,1,0,51,47,9,0.2
50,1,133,1,0,46,26,10,0.4
51,1,252,1,0,45,45,24,0.5
52,1,870,1,0,44,38,27,0.7
53,1,773,1,0,44,37,30,0.8
54,1,535,1,0,37,5,2,0.3
55,1,210,1,0,35,10,5,0.5
56,1,93,1,0,27,7,3,0.4
57,1,897,1,0,21,13,5,0.4
58,1,892,1,0,15,14,11,0.8
59,1,111,1,0,11,11,6,0.6
60,1,940,1,0,8,6,4,0.6
61,1,799,1,0,8,8,8,1.0
62,1,200,1,0,6,6,5,0.8
63,1,0,1,0,5,5,2,0.4
64,1,376,1,0,4,2,2,1.0
65,1,793,1,0,3,1,1,0.7
66,1,149,1,0,2,0,0,0.0
67,1,699,1,0,2,2,1,0.5
68,2,51,1,0,6905,6675,4005,0.6
69,2,807,1,0,4156,3950,2370,0.6
70,2,863,1,0,4093,3814,2288,0.6
71,2,309,1,0,2305,2204,1322,0.6
72,2,50,1,0,882,831,498,0.6
73,2,651,1,0,53,47,28,0.6
74,2,229,1,0,11,8,5,0.6
75,4,795,1,0,3350,3040,1368,0.5
76,4,767,1,0,1350,897,314,0.4
77,4,822,1,0,1005,755,302,0.4
78,4,139,1,0,800,500,215,0.4
79,4,737,1,0,491,270,108,0.4
80,4,610,1,0,397,297,128,0.4
81,4,260,1,0,279,138,21,0.2
82,4,153,1,0,240,240,96,0.4
83,4,522,1,0,197,197,81,0.4
84,4,6,1,0,150,20,10,0.5
85,4,485,1,0,123,58,12,0.2
86,4,517,1,0,112,12,6,0.5
87,4,891,1,0,110,25,13,0.5
88,4,753,1,0,88,18,7,0.4
89,4,57,1,0,60,60,24,0.4
90,4,544,1,0,52,52,17,0.3
91,4,80,1,0,46,46,18,0.4
92,4,762,1,0,30,0,0,0.0
93,4,27,1,0,20,0,0,0.0
