,DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha)
0,1,35,2,0,10380,7648,9888,1.3
1,1,201,2,0,10063,7374,11439,1.6
2,1,711,2,0,7857,5929,11057,1.9
3,1,210,2,0,6880,5306,9896,1.9
4,1,91,2,0,6445,4749,7368,1.6
5,1,93,2,0,5734,4230,6562,1.6
6,1,0,2,0,3149,2529,4718,1.9
7,1,392,2,0,2586,2331,3716,1.6
8,1,119,2,0,2354,2160,4028,1.9
9,1,312,2,0,2346,1673,2163,1.3
10,1,396,2,0,2305,1798,2325,1.3
11,1,836,2,0,2293,1931,2663,1.4
12,1,799,2,0,2172,1863,2569,1.4
13,1,783,2,0,2169,1775,1989,1.1
14,1,160,2,0,2066,1755,2723,1.6
15,1,42,2,0,1923,1645,2553,1.6
16,1,252,2,0,1901,1655,1569,0.9
17,1,30,2,0,1894,1562,1212,0.8
18,1,864,2,0,1788,1509,1690,1.1
19,1,699,2,0,1737,1597,2979,1.9
20,1,451,2,0,1685,1488,2309,1.6
21,1,243,2,0,1673,1454,2005,1.4
22,1,630,2,0,1610,1163,1704,1.5
23,1,516,2,0,1608,1282,1215,0.9
24,1,532,2,0,1501,1370,2008,1.5
25,1,599,2,0,1435,1347,2090,1.6
26,1,398,2,0,1433,1187,1535,1.3
27,1,774,2,0,1389,1229,1059,0.9
28,1,976,2,0,1354,1151,1190,1.0
29,1,58,2,0,1271,1088,2028,1.9
30,1,718,2,0,1171,1044,900,0.9
31,1,379,2,0,1115,851,1284,1.5
32,1,837,2,0,1111,989,1364,1.4
33,1,803,2,0,1092,983,1102,1.1
34,1,75,2,0,1062,963,1796,1.9
35,1,930,2,0,1055,882,912,1.0
36,1,870,2,0,982,751,971,1.3
37,1,111,2,0,936,861,964,1.1
38,1,897,2,0,929,727,877,1.2
39,1,376,2,0,882,767,1430,1.9
40,1,37,2,0,812,684,1179,1.7
41,1,773,2,0,806,659,409,0.6
42,1,727,2,0,800,665,1240,1.9
43,1,144,2,0,798,674,929,1.4
44,1,337,2,0,705,617,1063,1.7
45,1,19,2,0,701,608,786,1.3
46,1,944,2,0,699,510,880,1.7
47,1,341,2,0,691,588,522,0.9
48,1,793,2,0,684,581,802,1.4
49,1,739,2,0,655,557,960,1.7
50,1,29,2,0,621,540,791,1.5
51,1,314,2,0,589,500,905,1.8
52,1,102,2,0,589,485,586,1.2
53,1,61,2,0,586,494,639,1.3
54,1,940,2,0,562,460,515,1.1
55,1,892,2,0,503,418,649,1.6
56,1,350,2,0,496,430,593,1.4
57,1,929,2,0,478,384,431,1.1
58,1,494,2,0,471,433,299,0.7
59,1,203,2,0,466,410,388,0.9
60,1,410,2,0,426,357,369,1.0
61,1,555,2,0,396,344,474,1.4
62,1,941,2,0,371,314,216,0.7
63,1,975,2,0,300,257,332,1.3
64,1,39,2,0,294,228,236,1.0
65,1,974,2,0,291,248,154,0.6
66,1,36,2,0,269,235,283,1.2
67,1,602,2,0,254,209,325,1.6
68,1,344,2,0,243,201,173,0.9
69,1,735,2,0,235,184,174,0.9
70,1,133,2,0,230,187,194,1.0
71,1,248,2,0,227,207,339,1.6
72,1,339,2,0,224,212,283,1.3
73,1,756,2,0,210,172,321,1.9
74,1,678,2,0,204,173,224,1.3
75,1,209,2,0,170,162,140,0.9
76,1,87,2,0,143,125,108,0.9
77,1,127,2,0,140,115,178,1.6
78,1,200,2,0,136,126,152,1.2
79,1,149,2,0,126,113,175,1.6
80,1,2,2,0,119,104,193,1.9
81,1,466,2,0,119,110,68,0.6
82,1,217,2,0,91,81,56,0.7
83,1,934,2,0,60,60,37,0.6
84,1,416,2,0,42,22,28,1.3
85,1,777,2,0,42,30,41,1.4
86,1,701,2,0,39,35,45,1.3
87,1,486,2,0,33,26,23,0.9
88,1,56,2,0,31,29,43,1.5
89,1,294,2,0,22,21,31,1.5
90,1,143,2,0,21,21,13,0.6
91,1,360,2,0,21,11,21,1.9
92,1,674,2,0,13,13,20,1.5
93,1,152,2,0,13,13,12,0.9
94,4,795,2,0,1188,1101,685,0.6
95,4,522,2,0,81,81,50,0.6
96,5,514,2,0,1516,1356,1169,0.9
97,5,986,2,0,1172,1080,931,0.9
98,5,503,2,0,811,774,481,0.6
99,5,743,2,0,740,690,595,0.9
100,5,896,2,0,597,548,472,0.9
101,5,800,2,0,517,484,417,0.9
102,5,90,2,0,470,443,382,0.9
103,5,189,2,0,448,397,342,0.9
104,5,592,2,0,349,325,202,0.6
105,5,569,2,0,316,305,284,0.9
106,5,768,2,0,305,281,175,0.6
107,5,106,2,0,303,262,255,1.0
108,5,367,2,0,252,235,166,0.7
109,5,487,2,0,252,230,157,0.7
110,5,732,2,0,244,216,205,0.9
111,5,218,2,0,223,207,143,0.7
112,5,136,2,0,200,170,130,0.8
113,5,563,2,0,187,183,142,0.8
114,5,102,2,0,171,144,90,0.6
115,5,667,2,0,137,133,83,0.6
116,5,612,2,0,135,135,93,0.7
117,5,332,2,0,131,120,83,0.7
118,5,694,2,0,125,114,117,1.0
119,5,439,2,0,121,114,79,0.7
120,5,565,2,0,110,103,80,0.8
121,5,464,2,0,94,88,76,0.9
122,5,531,2,0,79,77,66,0.9
123,5,442,2,0,79,79,51,0.6
124,5,23,2,0,73,71,55,0.8
125,5,913,2,0,66,56,35,0.6
126,5,179,2,0,60,56,73,1.3
127,5,362,2,0,56,53,64,1.2
128,5,835,2,0,45,44,27,0.6
129,5,593,2,0,35,35,30,0.9
130,5,574,2,0,31,31,20,0.6
131,5,758,2,0,9,8,7,0.8
132,5,789,2,0,7,6,4,0.7
133,6,480,2,0,6267,4586,7904,1.7
134,6,40,2,0,6249,4804,6211,1.3
135,6,180,2,0,4252,2582,3397,1.3
136,6,11,2,0,4205,3390,4091,1.2
137,6,598,2,0,4097,3591,4333,1.2
138,6,482,2,0,3701,3055,3291,1.1
139,6,567,2,0,3500,2549,1585,0.6
140,6,537,2,0,3367,2589,3570,1.4
141,6,576,2,0,3249,1938,3614,1.9
142,6,689,2,0,2994,1983,2754,1.4
143,6,83,2,0,2981,2073,3216,1.6
144,6,688,2,0,2942,2382,4442,1.9
145,6,490,2,0,2924,2384,2638,1.1
146,6,713,2,0,2823,2358,3103,1.3
147,6,707,2,0,2326,1898,2945,1.6
148,6,298,2,0,2107,1678,2025,1.2
149,6,48,2,0,1872,1517,2445,1.6
150,6,741,2,0,1717,1192,1850,1.6
151,6,960,2,0,1632,1210,1564,1.3
152,6,852,2,0,1495,1198,1032,0.9
153,6,423,2,0,955,762,1104,1.4
154,6,970,2,0,491,385,498,1.3
155,6,489,2,0,423,366,630,1.7
156,6,492,2,0,227,194,335,1.7
157,6,950,2,0,119,98,93,0.9
158,7,650,2,0,1210,990,1847,1.9
159,7,302,2,0,1122,1004,1038,1.0
160,7,779,2,0,971,813,1516,1.9
161,7,268,2,0,322,304,472,1.6
162,7,276,2,0,231,197,254,1.3
163,7,515,2,0,187,177,153,0.9
164,8,862,2,0,2134,1858,1155,0.6
165,8,548,2,0,363,262,163,0.6
166,8,703,2,0,173,147,190,1.3
167,8,521,2,0,123,94,122,1.3
168,9,287,2,0,8428,7294,11315,1.6
169,9,606,2,0,8307,6986,9440,1.4
170,9,522,2,0,6980,5983,7735,1.3
171,9,123,2,0,6860,6123,9500,1.6
172,9,569,2,0,5421,4788,7016,1.5
173,9,128,2,0,4936,4235,5476,1.3
174,9,387,2,0,4935,4405,4746,1.1
175,9,888,2,0,4219,3637,4075,1.1
176,9,801,2,0,3638,3240,3753,1.2
177,9,622,2,0,3510,3100,2939,0.9
178,9,846,2,0,3508,3134,3538,1.1
179,9,71,2,0,3352,3057,2226,0.7
180,9,438,2,0,3215,2994,3354,1.1
181,9,99,2,0,2682,2465,4598,1.9
182,9,903,2,0,2405,2281,1966,0.9
183,9,132,2,0,1973,1752,2265,1.3
184,9,591,2,0,1871,1719,2806,1.6
185,9,432,2,0,1826,1547,1734,1.1
186,9,107,2,0,1825,1677,1446,0.9
187,9,220,2,0,1660,1415,1280,0.9
188,9,849,2,0,1549,1378,2570,1.9
189,9,58,2,0,1494,1334,830,0.6
190,9,695,2,0,1378,1190,1025,0.9
191,9,22,2,0,1157,1056,819,0.8
192,9,302,2,0,1025,964,1797,1.9
193,9,394,2,0,969,802,622,0.8
194,9,500,2,0,920,869,749,0.9
195,9,843,2,0,900,827,712,0.9
196,9,905,2,0,716,617,585,0.9
197,9,504,2,0,628,572,739,1.3
198,9,659,2,0,391,379,261,0.7
199,9,775,2,0,301,265,228,0.9
200,10,13,2,0,6742,6145,3820,0.6
201,10,628,2,0,5715,5138,3194,0.6
202,10,426,2,0,4778,4185,2602,0.6
203,10,419,2,0,2809,2415,1501,0.6
204,10,939,2,0,2003,1808,1124,0.6
205,10,9,2,0,936,835,519,0.6
206,10,267,2,0,805,715,445,0.6
207,10,478,2,0,790,729,453,0.6
208,10,82,2,0,780,686,427,0.6
209,10,242,2,0,467,398,248,0.6
210,10,571,2,0,322,315,272,0.9
211,10,177,2,0,176,157,97,0.6
212,10,680,2,0,146,114,71,0.6
213,10,418,2,0,86,84,52,0.6
214,10,342,2,0,85,68,42,0.6
215,10,185,2,0,76,71,44,0.6
216,10,717,2,0,26,24,15,0.6
217,10,761,2,0,21,20,13,0.6
218,10,597,2,0,8,8,5,0.6
219,11,150,2,0,171,140,181,1.3
220,13,967,2,0,3654,3179,3979,1.3
221,13,750,2,0,1656,1431,1480,1.0
222,13,668,2,0,1486,1350,1861,1.4
223,13,946,2,0,1295,1026,1238,1.2
224,13,266,2,0,1288,1168,1069,0.9
225,13,351,2,0,1098,942,975,1.0
226,13,425,2,0,935,745,964,1.3
227,13,949,2,0,933,812,770,0.9
228,13,365,2,0,910,842,544,0.6
229,13,851,2,0,903,762,919,1.2
230,13,424,2,0,885,807,696,0.9
231,13,38,2,0,867,806,1251,1.6
232,13,168,2,0,850,794,821,1.0
233,13,566,2,0,834,694,837,1.2
234,13,809,2,0,826,710,1324,1.9
235,13,881,2,0,822,744,463,0.6
236,13,971,2,0,742,672,695,1.0
237,13,116,2,0,686,623,859,1.4
238,13,657,2,0,677,623,644,1.0
239,13,572,2,0,629,507,568,1.1
240,13,320,2,0,629,563,519,0.9
241,13,735,2,0,593,525,489,0.9
242,13,539,2,0,585,504,489,1.0
243,13,140,2,0,537,433,485,1.1
244,13,438,2,0,520,460,471,1.0
245,13,902,2,0,475,384,430,1.1
246,13,818,2,0,473,424,439,1.0
247,13,722,2,0,460,413,713,1.7
248,13,94,2,0,450,421,363,0.9
249,13,729,2,0,447,362,374,1.0
250,13,52,2,0,437,401,311,0.8
251,13,944,2,0,409,370,255,0.7
252,13,278,2,0,379,314,328,1.0
253,13,874,2,0,367,347,216,0.6
254,13,15,2,0,358,314,406,1.3
255,13,324,2,0,307,302,260,0.9
256,13,725,2,0,253,231,299,1.3
257,13,366,2,0,253,213,367,1.7
258,13,585,2,0,251,241,311,1.3
259,13,495,2,0,214,189,195,1.0
260,13,481,2,0,201,195,269,1.4
261,13,884,2,0,174,167,196,1.2
262,13,921,2,0,168,145,271,1.9
263,13,467,2,0,143,138,216,1.6
264,13,307,2,0,135,129,145,1.1
265,13,399,2,0,134,126,109,0.9
266,13,958,2,0,133,107,184,1.7
267,13,966,2,0,132,124,139,1.1
268,13,403,2,0,131,128,99,0.8
269,13,663,2,0,123,112,209,1.9
270,13,987,2,0,123,115,72,0.6
271,13,427,2,0,122,99,111,1.1
272,13,894,2,0,103,94,81,0.9
273,13,922,2,0,99,95,107,1.1
274,13,321,2,0,81,77,66,0.9
275,13,142,2,0,79,65,84,1.3
276,13,328,2,0,71,71,61,0.9
277,13,32,2,0,71,66,57,0.9
278,13,662,2,0,69,60,67,1.1
279,13,89,2,0,52,44,38,0.9
280,13,370,2,0,51,46,55,1.2
281,13,46,2,0,47,47,41,0.9
282,13,193,2,0,45,42,47,1.1
283,13,542,2,0,41,37,54,1.5
284,13,540,2,0,35,34,46,1.4
285,13,310,2,0,33,30,39,1.3
286,13,113,2,0,23,23,19,0.9
287,13,589,2,0,18,15,15,1.0
288,13,588,2,0,8,8,7,0.9
289,16,614,2,0,18319,15150,17236,1.1
290,16,5,2,0,14348,11842,13472,1.1
291,16,428,2,0,11206,9499,10234,1.1
292,16,333,2,0,9421,7770,8706,1.1
293,16,847,2,0,6908,5545,6213,1.1
294,16,21,2,0,5810,4816,5562,1.2
295,16,716,2,0,5517,4439,5050,1.1
296,16,335,2,0,5482,4295,4628,1.1
297,16,350,2,0,5074,4292,4809,1.1
298,16,887,2,0,4907,3873,4286,1.1
299,16,576,2,0,4868,4003,4554,1.1
300,16,613,2,0,4756,3903,4373,1.1
301,16,390,2,0,4395,3601,4096,1.1
302,16,869,2,0,4255,3520,3944,1.1
303,16,538,2,0,4218,3694,3821,1.0
304,16,706,2,0,3450,2733,3109,1.1
305,16,873,2,0,3358,2955,3311,1.1
306,16,558,2,0,3120,2581,2937,1.1
307,16,789,2,0,3094,2614,2929,1.1
308,16,879,2,0,2777,2357,2641,1.1
309,16,406,2,0,2577,2159,2326,1.1
310,16,389,2,0,2552,2134,2391,1.1
311,16,575,2,0,2525,2166,2427,1.1
312,16,533,2,0,2016,1744,1804,1.0
313,16,205,2,0,1851,1621,1677,1.0
314,16,135,2,0,1765,1428,1600,1.1
315,16,570,2,0,1752,1496,1598,1.1
316,16,7,2,0,1332,1099,1231,1.1
317,16,14,2,0,1071,883,913,1.0
318,16,290,2,0,1054,867,987,1.1
319,16,380,2,0,1009,874,979,1.1
320,16,73,2,0,800,722,834,1.2
321,16,690,2,0,740,620,694,1.1
322,16,880,2,0,719,630,706,1.1
323,16,25,2,0,92,77,83,1.1
324,17,961,2,0,1018,969,602,0.6
325,17,931,2,0,888,811,504,0.6
326,17,79,2,0,721,627,390,0.6
327,17,420,2,0,577,553,344,0.6
328,17,752,2,0,494,478,297,0.6
329,17,308,2,0,388,333,207,0.6
330,17,274,2,0,385,373,232,0.6
331,17,686,2,0,369,357,222,0.6
332,17,245,2,0,227,191,119,0.6
333,17,375,2,0,124,119,74,0.6
334,18,196,2,0,10877,9564,5946,0.6
335,18,790,2,0,5006,4620,2872,0.6
336,18,316,2,0,2549,2349,1460,0.6
337,18,47,2,0,1054,881,548,0.6
338,19,501,2,0,1324,1193,1646,1.4
339,19,446,2,0,690,589,883,1.5
340,19,757,2,0,336,296,408,1.4
341,19,262,2,0,240,225,291,1.3
342,19,748,2,0,194,175,327,1.9
343,19,964,2,0,160,137,142,1.0
