,DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha)
0,1,635,4,3,150,150,4200,28.0
1,1,435,4,3,23,22,726,33.0
2,10,275,4,3,320,74,222,3.0
3,10,717,4,3,35,0,0,0.0
4,10,342,4,3,31,0,0,0.0
5,10,426,4,3,0,25,750,30.0
6,10,185,4,3,0,300,9000,30.0
7,13,194,4,3,362,0,0,0.0
8,13,588,4,3,200,180,5220,29.0
9,13,532,4,3,100,100,4000,40.0
10,13,679,4,3,60,55,1100,20.0
11,13,338,4,3,40,30,600,20.0
12,13,8,4,3,39,37,740,20.0
13,19,354,4,3,45,45,1575,35.0
14,19,235,4,3,0,90,180,2.0
15,26,145,4,3,8,0,0,0.0
16,28,62,4,3,150,150,4500,30.0
17,28,937,4,3,37,0,0,0.0
18,28,381,4,3,12,23,161,7.0
19,28,488,4,3,5,40,1200,30.0
20,29,99,4,3,20,14,336,24.0
21,29,305,4,3,18,28,1120,40.0
22,29,924,4,3,16,12,84,7.0
23,29,41,4,3,16,12,480,40.0
24,29,17,4,3,8,8,338,45.0
25,3,908,3,3,398,390,798,2.0
26,3,134,3,3,371,200,400,2.0
27,3,788,3,3,120,80,339,4.2
28,3,326,3,3,62,0,0,0.0
29,3,676,3,3,60,41,116,2.8
30,3,698,3,3,46,0,0,0.0
31,3,578,3,3,40,10,38,3.8
32,3,833,3,3,20,6,7,1.1
33,4,485,3,3,1000,1000,4000,4.0
34,5,890,3,3,200,0,0,0.0
35,5,763,3,3,135,135,270,2.0
36,5,732,3,3,12,10,16,1.6
37,5,882,3,3,0,80,160,2.0
38,6,83,3,3,50,35,116,3.4
39,6,970,3,3,34,5,32,6.4
40,6,480,3,3,31,15,64,4.2
41,6,689,3,3,25,12,61,5.1
42,6,741,3,3,20,5,14,2.8
43,6,423,3,3,20,25,70,2.8
44,6,40,3,3,14,14,59,4.2
45,6,414,3,3,10,25,169,6.8
46,7,650,3,3,81,0,0,0.0
47,8,623,3,3,150,77,308,4.0
48,8,978,3,3,134,172,430,2.5
49,8,872,3,3,60,47,199,4.2
50,8,521,3,3,50,27,81,3.0
51,8,862,3,3,30,5,10,2.0
52,8,594,3,3,25,9,39,4.3
53,9,287,3,3,500,450,1350,3.0
54,9,801,3,3,67,64,197,3.1
55,9,591,3,3,65,120,610,5.1
56,9,522,3,3,30,30,60,2.0
57,9,606,3,3,26,0,0,0.0
58,9,387,3,3,20,19,23,1.2
59,9,956,3,3,20,19,97,5.1
60,9,220,3,3,12,0,0,0.0
61,9,654,3,3,10,41,208,5.1
62,9,568,3,3,8,10,40,4.0
63,9,99,3,3,0,18,72,4.0
64,9,504,3,3,0,48,192,4.0
65,10,761,3,3,900,870,3480,4.0
66,10,731,3,3,500,380,988,2.6
67,10,9,3,3,408,163,489,3.0
68,10,82,3,3,300,80,240,3.0
69,10,571,3,3,271,162,486,3.0
70,10,418,3,3,250,242,726,3.0
71,10,597,3,3,250,660,2310,3.5
72,10,329,3,3,201,46,138,3.0
73,10,64,3,3,200,184,460,2.5
74,10,680,3,3,80,0,0,0.0
75,11,927,3,3,250,250,400,1.6
76,12,520,3,3,4742,1190,3348,2.8
77,12,197,3,3,4000,750,2625,3.5
78,12,176,3,3,2356,0,0,0.0
79,12,886,3,3,2150,1900,3800,2.0
80,12,727,3,3,1400,400,1800,4.5
81,12,162,3,3,1200,850,3400,4.0
82,12,772,3,3,1000,930,3255,3.5
83,12,181,3,3,800,250,1271,5.1
84,12,935,3,3,650,700,3856,5.5
85,12,225,3,3,500,1028,4355,4.2
86,12,705,3,3,455,0,0,0.0
87,12,644,3,3,300,40,112,2.8
88,12,137,3,3,120,45,138,3.1
89,12,629,3,3,60,15,60,4.0
90,12,456,3,3,20,80,339,4.2
91,13,89,3,3,500,400,600,1.5
92,13,926,3,3,500,290,2507,8.6
93,13,468,3,3,310,245,1286,5.3
94,13,588,3,3,300,200,1200,6.0
95,13,525,3,3,210,205,1076,5.3
96,13,296,3,3,107,95,499,5.3
97,13,848,3,3,87,68,428,6.3
98,13,224,3,3,67,14,72,5.3
99,13,944,3,3,12,10,20,2.0
100,13,438,3,3,8,6,9,1.5
101,16,614,3,3,720,615,2035,3.3
102,16,538,3,3,700,500,2100,4.2
103,16,428,3,3,552,497,2237,4.5
104,16,135,3,3,500,505,2183,4.3
105,16,690,3,3,445,415,1868,4.5
106,16,21,3,3,330,295,1305,4.4
107,16,716,3,3,318,306,1023,3.3
108,16,390,3,3,250,223,892,4.0
109,16,575,3,3,200,125,430,3.4
110,16,873,3,3,170,110,480,4.4
111,16,887,3,3,170,155,658,4.2
112,16,706,3,3,140,150,1050,7.0
113,16,335,3,3,130,140,568,4.1
114,16,613,3,3,108,65,260,4.0
115,16,558,3,3,90,80,360,4.5
116,16,880,3,3,90,88,357,4.1
117,16,350,3,3,83,70,460,6.6
118,16,389,3,3,80,47,203,4.3
119,16,333,3,3,70,400,1944,4.9
120,16,5,3,3,68,440,2140,4.9
121,16,406,3,3,58,30,120,4.0
122,16,570,3,3,49,29,121,4.2
123,16,879,3,3,40,38,152,4.0
124,16,25,3,3,40,50,200,4.0
125,16,380,3,3,35,23,99,4.3
126,16,973,3,3,33,0,0,0.0
127,16,576,3,3,30,0,0,0.0
128,16,533,3,3,30,10,40,4.0
129,16,205,3,3,30,25,88,3.5
130,16,789,3,3,25,21,63,3.0
131,16,847,3,3,23,80,403,5.0
132,16,869,3,3,22,15,60,4.0
133,16,290,3,3,20,15,60,4.0
134,16,14,3,3,20,80,332,4.2
135,16,7,3,3,15,40,160,4.0
136,16,965,3,3,5,18,67,3.7
137,19,641,3,3,33500,21500,118432,5.5
138,19,646,3,3,7280,8721,51735,5.9
139,19,344,3,3,3800,1712,8705,5.1
140,19,315,3,3,2400,2350,11949,5.1
141,19,964,3,3,2020,0,0,0.0
142,19,645,3,3,1000,200,1017,5.1
143,19,262,3,3,808,0,0,0.0
144,19,77,3,3,450,400,820,2.0
145,19,969,3,3,300,450,2288,5.1
