,DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha)
0,8,961,5,3,0,120,240,2.0
1,19,641,5,3,33500,21500,64500,3.0
2,19,646,5,3,3615,7759,19398,2.5
3,19,344,5,3,225,105,263,2.5
4,19,235,5,3,0,60,72,1.2
5,19,969,5,3,0,110,264,2.4
6,24,600,5,3,20,9,20,2.2
7,29,904,5,3,183,75,300,4.0
8,29,985,5,3,100,49,147,3.0
9,29,155,5,3,96,96,240,2.5
10,29,769,5,3,37,0,0,0.0
11,29,109,5,3,20,15,38,2.5
12,29,439,5,3,20,21,63,3.0
13,29,692,5,3,10,10,22,2.2
14,29,550,5,3,8,18,63,3.5
15,8,961,5,4,0,120,240,2.0
16,19,641,5,4,32000,8500,21250,2.5
17,19,646,5,4,3500,5077,12693,2.5
18,19,344,5,4,41,0,0,0.0
19,19,114,5,4,0,20,50,2.5
20,19,645,5,4,0,100,260,2.6
21,19,964,5,4,0,1580,4740,3.0
22,24,600,5,4,10,45,111,2.5
23,29,155,5,4,159,225,585,2.6
24,29,904,5,4,90,103,309,3.0
25,29,439,5,4,79,21,42,2.0
26,29,985,5,4,49,70,210,3.0
27,29,109,5,4,22,9,23,2.5
28,29,550,5,4,20,631,1892,3.0
29,29,769,5,4,18,15,38,2.5
30,29,692,5,4,10,10,22,2.2
31,31,796,5,4,0,1600,3840,2.4
32,31,236,5,4,0,4000,10800,2.7
33,8,961,5,5,120,0,0,0.0
34,19,641,5,5,21500,32000,96000,3.0
35,19,646,5,5,7759,3500,10500,3.0
36,19,344,5,5,113,34,85,2.5
37,19,969,5,5,110,0,0,0.0
38,19,235,5,5,63,0,0,0.0
39,24,600,5,5,10,9,20,2.2
40,29,155,5,5,96,159,476,3.0
41,29,904,5,5,80,85,340,4.0
42,29,985,5,5,49,49,137,2.8
43,29,439,5,5,21,79,237,3.0
44,29,550,5,5,18,20,70,3.5
45,29,109,5,5,15,21,53,2.5
46,29,692,5,5,10,10,22,2.2
47,29,769,5,5,0,18,45,2.5
48,8,961,5,6,0,200,400,2.0
49,9,348,5,6,0,2,4,2.0
50,19,641,5,6,8500,2250,5625,2.5
51,19,646,5,6,4440,2565,6413,2.5
52,19,446,5,6,0,120,240,2.0
53,19,114,5,6,0,125,313,2.5
54,19,645,5,6,0,280,560,2.0
55,19,969,5,6,0,560,1120,2.0
56,19,315,5,6,0,860,1720,2.0
57,19,344,5,6,0,980,1960,2.0
58,19,964,5,6,0,950,2375,2.5
59,23,665,5,6,0,1,3,3.0
60,24,600,5,6,45,0,0,0.0
61,28,301,5,6,45,0,0,0.0
62,29,550,5,6,1053,592,1480,2.5
63,29,155,5,6,159,154,385,2.5
64,29,904,5,6,138,103,309,3.0
65,29,439,5,6,131,199,398,2.0
66,29,985,5,6,85,115,253,2.2
67,29,109,5,6,19,0,0,0.0
68,29,769,5,6,16,17,43,2.5
69,29,692,5,6,10,40,88,2.2
70,29,120,5,6,0,68,150,2.2
71,31,236,5,6,6500,8000,21600,2.7
72,31,796,5,6,0,1600,3840,2.4
73,8,961,5,7,120,0,0,0.0
74,19,641,5,7,8500,8500,21250,2.5
75,19,646,5,7,5077,4440,13320,3.0
76,19,964,5,7,1600,0,0,0.0
77,19,645,5,7,100,0,0,0.0
78,19,114,5,7,20,0,0,0.0
79,24,600,5,7,45,45,111,2.5
80,28,301,5,7,0,45,68,1.5
81,29,550,5,7,631,1053,2843,2.7
82,29,155,5,7,225,159,397,2.5
83,29,904,5,7,103,138,552,4.0
84,29,985,5,7,70,85,238,2.8
85,29,439,5,7,21,131,262,2.0
86,29,769,5,7,15,16,39,2.5
87,29,692,5,7,10,10,22,2.2
88,29,109,5,7,10,18,45,2.5
89,31,236,5,7,4000,6500,17550,2.7
90,31,796,5,7,1600,0,0,0.0
91,9,348,5,8,2,2,4,2.0
92,16,690,5,8,0,2,5,2.5
93,19,641,5,8,6720,3600,9000,2.5
94,19,646,5,8,3400,8232,18110,2.2
95,19,446,5,8,0,24,43,1.8
96,19,645,5,8,0,102,255,2.5
97,19,315,5,8,0,200,500,2.5
98,19,344,5,8,0,250,625,2.5
99,23,665,5,8,1,0,0,0.0
100,24,600,5,8,0,2,1,0.5
101,29,550,5,8,1198,669,1940,2.9
102,29,985,5,8,851,0,0,0.0
103,29,155,5,8,555,348,730,2.1
104,29,904,5,8,213,85,332,3.9
105,29,692,5,8,132,0,0,0.0
106,29,439,5,8,109,168,504,3.0
107,29,120,5,8,68,63,139,2.2
108,29,769,5,8,43,30,75,2.5
109,29,109,5,8,0,25,63,2.5
110,31,236,5,8,8000,2458,9340,3.8
111,31,796,5,8,0,810,1944,2.4
112,8,961,5,9,200,0,0,0.0
113,9,348,5,9,2,2,4,2.0
114,19,646,5,9,2565,3400,9520,2.8
115,19,641,5,9,2250,6720,20160,3.0
116,19,344,5,9,980,0,0,0.0
117,19,964,5,9,950,0,0,0.0
118,19,315,5,9,860,0,0,0.0
119,19,969,5,9,560,0,0,0.0
120,19,645,5,9,280,0,0,0.0
121,19,114,5,9,125,0,0,0.0
122,19,446,5,9,120,0,0,0.0
123,23,665,5,9,1,1,2,2.2
124,29,550,5,9,592,1198,2995,2.5
125,29,439,5,9,199,109,218,2.0
126,29,155,5,9,154,555,1388,2.5
127,29,985,5,9,115,851,1872,2.2
128,29,904,5,9,103,213,639,3.0
129,29,120,5,9,68,68,150,2.2
130,29,692,5,9,40,132,290,2.2
131,29,769,5,9,17,43,108,2.5
132,31,236,5,9,8000,8000,21600,2.7
133,31,796,5,9,1600,0,0,0.0
