CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
76,VALLE DEL CAUCA,76100,BOLIVAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,65,46,230,5,FRUTO FRESCO
5,ANTIOQUIA,5756,SONSON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,2050,1350,20250,15,FRUTO FRESCO
5,ANTIOQUIA,5541,PEÑOL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,669,535,6420,12,FRUTO FRESCO
5,ANTIOQUIA,5607,RETIRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,623,478,9560,20,FRUTO FRESCO
5,ANTIOQUIA,5674,SAN VICENTE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,620,265,3180,12,FRUTO FRESCO
5,ANTIOQUIA,5002,ABEJORRAL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,556,476,9044,19,FRUTO FRESCO
5,ANTIOQUIA,5376,LA CEJA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,388,368,3007,8.2,FRUTO FRESCO
5,ANTIOQUIA,5318,GUARNE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,372,291,2619,9,FRUTO FRESCO
5,ANTIOQUIA,5440,MARINILLA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,355,215,1609,7.5,FRUTO FRESCO
5,ANTIOQUIA,5368,JERICO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,346,290,3190,11,FRUTO FRESCO
5,ANTIOQUIA,5837,TURBO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,329,140,1400,10,FRUTO FRESCO
5,ANTIOQUIA,5697,SANTUARIO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,258,187,1122,6,FRUTO FRESCO
5,ANTIOQUIA,5615,RIONEGRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,200,165,1650,10,FRUTO FRESCO
5,ANTIOQUIA,5411,LIBORINA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,182,150,465,3.1,FRUTO FRESCO
5,ANTIOQUIA,5313,GRANADA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,172,47,400,8.5,FRUTO FRESCO
5,ANTIOQUIA,5642,SALGAR,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,150,80,1040,13,FRUTO FRESCO
5,ANTIOQUIA,5148,CARMEN DE VIBORAL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,135,95,1477,15.5,FRUTO FRESCO
5,ANTIOQUIA,5030,AMAGA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,134,129,1419,11,FRUTO FRESCO
5,ANTIOQUIA,5125,CAICEDO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,122,25,250,10,FRUTO FRESCO
5,ANTIOQUIA,5490,NECOCLI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,116,98,1960,20,FRUTO FRESCO
5,ANTIOQUIA,5045,APARTADO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,110,100,1500,15,FRUTO FRESCO
5,ANTIOQUIA,5664,SAN PEDRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,105,63,625,10,FRUTO FRESCO
5,ANTIOQUIA,5093,BETULIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,104,54,540,10,FRUTO FRESCO
5,ANTIOQUIA,5467,MONTEBELLO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,99,42,336,8,FRUTO FRESCO
5,ANTIOQUIA,5854,VALDIVIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,98,77,347,4.5,FRUTO FRESCO
5,ANTIOQUIA,5364,JARDIN,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,96,78,936,12,FRUTO FRESCO
5,ANTIOQUIA,5628,SABANALARGA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,95,84,215,2.5,FRUTO FRESCO
5,ANTIOQUIA,5789,TAMESIS,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,81,62,498,8,FRUTO FRESCO
5,ANTIOQUIA,5842,URAMITA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,70,40,200,5,FRUTO FRESCO
5,ANTIOQUIA,5055,ARGELIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,5010101,PERSEA AMERICANA MILL.,2018,62,49,490,10,FRUTO FRESCO
