CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
91,AMAZONAS,91540,PUERTO NARIÑO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,98,29,15,0.5,GRANO SECO
91,AMAZONAS,91001,LETICIA,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,52,0,0,0,GRANO SECO
5,ANTIOQUIA,5837,TURBO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,2166,1761,881,0.5,GRANO SECO
5,ANTIOQUIA,5120,CACERES,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,2044,850,510,0.6,GRANO SECO
5,ANTIOQUIA,5490,NECOCLI,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,2017,1426,998,0.7,GRANO SECO
5,ANTIOQUIA,5045,APARTADO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,2014,1404,702,0.5,GRANO SECO
5,ANTIOQUIA,5425,MACEO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,1590,1420,994,0.7,GRANO SECO
5,ANTIOQUIA,5858,VEGACHI,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,878,828,580,0.7,GRANO SECO
5,ANTIOQUIA,5790,TARAZA,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,830,502,301,0.6,GRANO SECO
5,ANTIOQUIA,5172,CHIGORODO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,789,434,303,0.7,GRANO SECO
5,ANTIOQUIA,5031,AMALFI,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,712,707,354,0.5,GRANO SECO
5,ANTIOQUIA,5854,VALDIVIA,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,663,384,192,0.5,GRANO SECO
5,ANTIOQUIA,5147,CAREPA,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,514,304,243,0.8,GRANO SECO
5,ANTIOQUIA,5665,SAN PEDRO DE URABA,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,510,440,264,0.6,GRANO SECO
5,ANTIOQUIA,5659,SAN JUAN DE URABA,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,510,390,351,0.9,GRANO SECO
5,ANTIOQUIA,5670,SAN ROQUE,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,502,202,162,0.8,GRANO SECO
5,ANTIOQUIA,5885,YALI,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,498,463,324,0.7,GRANO SECO
5,ANTIOQUIA,5142,CARACOLI,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,454,449,367,0.8,GRANO SECO
5,ANTIOQUIA,5250,EL BAGRE,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,403,287,144,0.5,GRANO SECO
5,ANTIOQUIA,5483,NARIÑO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,402,390,234,0.6,GRANO SECO
5,ANTIOQUIA,5660,SAN LUIS,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,369,296,118,0.4,GRANO SECO
5,ANTIOQUIA,5652,SAN FRANCISCO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,363,323,226,0.7,GRANO SECO
5,ANTIOQUIA,5234,DABEIBA,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,344,226,158,0.7,GRANO SECO
5,ANTIOQUIA,5051,ARBOLETES,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,313,245,172,0.7,GRANO SECO
5,ANTIOQUIA,5649,SAN CARLOS,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,294,217,152,0.7,GRANO SECO
5,ANTIOQUIA,5361,ITUANGO,OTROS PERMANENTES,CACAO,CACAO,CACAO,10010101,THEOBROMA CACAO,2018,290,265,212,0.8,GRANO SECO
