CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
85,CASANARE,85440,VILLANUEVA,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,0,120,240,2,GRANO SECO
50,META,50568,PUERTO GAITAN,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,33500,21500,64500,3,GRANO SECO
50,META,50573,PUERTO LOPEZ,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,3615,7759,19398,2.5,GRANO SECO
50,META,50313,GRANADA,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,225,105,263,2.5,GRANO SECO
50,META,50226,CUMARAL,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,0,60,72,1.2,GRANO SECO
50,META,50711,VISTA HERMOSA,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,0,110,264,2.4,GRANO SECO
66,RISARALDA,66001,PEREIRA,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,20,9,20,2.2,GRANO SECO
76,VALLE DEL CAUCA,76823,TORO,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,183,75,300,4,GRANO SECO
76,VALLE DEL CAUCA,76895,ZARZAL,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,100,49,147,3,GRANO SECO
76,VALLE DEL CAUCA,76147,CARTAGO,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,96,96,240,2.5,GRANO SECO
76,VALLE DEL CAUCA,76670,SAN PEDRO,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,37,0,0,0,GRANO SECO
76,VALLE DEL CAUCA,76111,BUGA,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,20,15,38,2.5,GRANO SECO
76,VALLE DEL CAUCA,76403,LA VICTORIA,LEGUMINOSAS,SOYA,SOYA,SOYA,8110101,GLYCINE MAX,2018A,20,21,63,3,GRANO SECO
