CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5541,PEÑOL,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,270,250,30000,120,HORTALIZA FRESCA
5,ANTIOQUIA,5440,MARINILLA,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,195,192,16320,85,HORTALIZA FRESCA
5,ANTIOQUIA,5318,GUARNE,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,160,80,8800,110,HORTALIZA FRESCA
5,ANTIOQUIA,5209,CONCORDIA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,120,70,1400,20,HORTALIZA FRESCA
5,ANTIOQUIA,5674,SAN VICENTE,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,70,52,5720,110,HORTALIZA FRESCA
5,ANTIOQUIA,5847,URRAO,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,56,20,2340,120,HORTALIZA FRESCA
5,ANTIOQUIA,5842,URAMITA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,50,5,60,12,HORTALIZA FRESCA
5,ANTIOQUIA,5001,MEDELLIN,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,46,42,4872,116,HORTALIZA FRESCA
5,ANTIOQUIA,5376,LA CEJA,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,25,18,2160,120,HORTALIZA FRESCA
5,ANTIOQUIA,5756,SONSON,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,23,23,2990,130,HORTALIZA FRESCA
5,ANTIOQUIA,5079,BARBOSA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,20,18,1080,60,HORTALIZA FRESCA
5,ANTIOQUIA,5607,RETIRO,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,20,13,1560,120,HORTALIZA FRESCA
5,ANTIOQUIA,5148,CARMEN DE VIBORAL,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,15,11,880,80,HORTALIZA FRESCA
5,ANTIOQUIA,5368,JERICO,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,15,15,1350,90,HORTALIZA FRESCA
5,ANTIOQUIA,5665,SAN PEDRO DE URABA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,14,0,0,0,HORTALIZA FRESCA
5,ANTIOQUIA,5091,BETANIA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,14,15,1050,70,HORTALIZA FRESCA
5,ANTIOQUIA,5411,LIBORINA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,12,11,83,7.5,HORTALIZA FRESCA
5,ANTIOQUIA,5887,YARUMAL,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,12,5,105,21,HORTALIZA FRESCA
5,ANTIOQUIA,5055,ARGELIA,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,12,4,640,160,HORTALIZA FRESCA
5,ANTIOQUIA,5282,FREDONIA,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,11,9,1350,150,HORTALIZA FRESCA
5,ANTIOQUIA,5030,AMAGA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,8,7,182,26,HORTALIZA FRESCA
5,ANTIOQUIA,5847,URRAO,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,7,6,44,8,HORTALIZA FRESCA
5,ANTIOQUIA,5361,ITUANGO,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,7,5,200,40,HORTALIZA FRESCA
5,ANTIOQUIA,5134,CAMPAMENTO,HORTALIZAS,TOMATE,TOMATE,TOMATE INVERNADERO,7270102,LYCOPERSICUM ESCULETUM,2018A,7,6,600,100,HORTALIZA FRESCA
5,ANTIOQUIA,5679,SANTA BARBARA,HORTALIZAS,TOMATE,TOMATE,TOMATE,7270101,LYCOPERSICUM ESCULETUM,2018A,6,4,48,12,HORTALIZA FRESCA
